time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,8.8499,8.8523,8.8453,8.8479,113,0,0
2014-01-02 00:00:00,8.8477,8.9132,8.8459,8.9115,10909,0,0
2014-01-02 08:00:00,8.8598,8.8963,8.8318,8.8811,3777,25,0
2014-01-02 09:00:00,8.8828,8.892,8.8732,8.879,3198,25,0
2014-01-02 10:00:00,8.8819,8.8993,8.8751,8.8951,3870,25,0
2014-01-02 11:00:00,8.8969,8.898,8.8856,8.8946,2761,25,0
2014-01-02 12:00:00,8.8946,8.895199999999999,8.8724,8.876,2624,25,0
2014-01-02 13:00:00,8.876,8.8972,8.8753,8.8813,3938,25,0
2014-01-02 14:00:00,8.881499999999999,8.8846,8.8672,8.8761,3347,25,0
2014-01-02 15:00:00,8.8761,8.8762,8.8627,8.8697,2862,25,0
2014-01-02 16:00:00,8.8694,8.8744,8.8561,8.86,3557,25,0
2014-01-02 17:00:00,8.8599,8.875,8.8579,8.8719,2804,25,0
2014-01-02 18:00:00,8.8744,8.8858,8.8695,8.8823,1590,25,0
2014-01-02 19:00:00,8.8823,8.8947,8.8799,8.8915,1866,25,0
2014-01-02 20:00:00,8.891,8.8959,8.8877,8.8924,1601,68,0
2014-01-02 21:00:00,8.8925,8.8957,8.8875,8.895,1626,71,0
2014-01-02 22:00:00,8.8949,8.9052,8.888,8.905,1526,71,0
2014-01-02 23:00:00,8.9048,8.9127,8.8845,8.9032,823,71,0
2014-01-03 00:00:00,8.9067,8.9111,8.9024,8.9103,781,71,0
2014-01-03 01:00:00,8.9104,8.9113,8.9044,8.905100000000001,858,71,0
2014-01-03 02:00:00,8.9052,8.9083,8.902,8.905,1646,71,0
2014-01-03 03:00:00,8.9055,8.9058,8.8989,8.9019,869,71,0
2014-01-03 04:00:00,8.9019,8.9027,8.8923,8.8954,893,71,0
2014-01-03 05:00:00,8.895199999999999,8.8983,8.8914,8.8945,1262,71,0
2014-01-03 06:00:00,8.8958,8.8985,8.8831,8.886800000000001,1210,29,0
2014-01-03 07:00:00,8.886800000000001,8.889,8.8796,8.8861,1035,42,0
2014-01-03 08:00:00,8.8858,8.8951,8.8832,8.8864,2435,25,0
2014-01-03 09:00:00,8.8865,8.8884,8.8711,8.879,2495,25,0
2014-01-03 10:00:00,8.8794,8.8891,8.8684,8.8859,3152,25,0
2014-01-03 11:00:00,8.885,8.8872,8.8743,8.8849,2546,25,0
2014-01-03 12:00:00,8.8851,8.8864,8.8682,8.8731,3008,25,0
2014-01-03 13:00:00,8.873,8.8789,8.8582,8.863199999999999,3166,25,0
2014-01-03 14:00:00,8.8633,8.8637,8.842600000000001,8.8499,3288,25,0
2014-01-03 15:00:00,8.8499,8.858,8.844,8.8454,3506,25,0
2014-01-03 16:00:00,8.8456,8.8619,8.8439,8.861,3868,25,0
2014-01-03 17:00:00,8.8615,8.8724,8.8574,8.8679,2386,25,0
2014-01-03 18:00:00,8.8678,8.8726,8.8623,8.8701,3079,25,0
2014-01-03 19:00:00,8.8702,8.8727,8.8648,8.8697,2363,25,0
2014-01-03 20:00:00,8.8679,8.8707,8.8616,8.8626,1469,71,0
2014-01-03 21:00:00,8.8626,8.8682,8.8599,8.864,2056,71,0
2014-01-03 22:00:00,8.8641,8.8682,8.8538,8.8594,1900,71,0
2014-01-05 00:00:00,8.8585,8.8612,8.8585,8.8612,45,0,0
2014-01-05 23:00:00,8.859,8.8621,8.8569,8.86,534,73,0
2014-01-06 00:00:00,8.861,8.8611,8.8574,8.8604,502,100,0
2014-01-06 01:00:00,8.8609,8.8631,8.8562,8.8598,775,71,0
2014-01-06 02:00:00,8.86,8.8645,8.8558,8.8594,863,71,0
2014-01-06 03:00:00,8.8595,8.862,8.8558,8.8604,799,71,0
2014-01-06 04:00:00,8.8603,8.8607,8.8549,8.8574,707,86,0
2014-01-06 05:00:00,8.8581,8.8612,8.854800000000001,8.8592,887,71,0
2014-01-06 06:00:00,8.8591,8.8609,8.8558,8.8588,1169,31,0
2014-01-06 07:00:00,8.859,8.8655,8.8559,8.8636,1276,25,0
2014-01-06 08:00:00,8.8628,8.8745,8.8589,8.8681,2644,25,0
2014-01-06 09:00:00,8.8681,8.8796,8.8623,8.8788,4026,25,0
2014-01-06 10:00:00,8.8785,8.8812,8.8654,8.8673,3762,25,0
2014-01-06 11:00:00,8.8673,8.8701,8.8593,8.866,3442,25,0
2014-01-06 12:00:00,8.866,8.8734,8.8628,8.871,2887,25,0
2014-01-06 13:00:00,8.8711,8.8775,8.865,8.8727,2827,25,0
2014-01-06 14:00:00,8.8727,8.8794,8.8622,8.8766,2638,25,0
2014-01-06 15:00:00,8.8781,8.8854,8.8709,8.883,3038,25,0
2014-01-06 16:00:00,8.8831,8.8891,8.876,8.8869,3392,25,0
2014-01-06 17:00:00,8.8872,8.8946,8.8791,8.883,2599,25,0
2014-01-06 18:00:00,8.8831,8.8859,8.8647,8.8719,2122,25,0
2014-01-06 19:00:00,8.8698,8.8768,8.866,8.8707,1781,25,0
2014-01-06 20:00:00,8.8708,8.8718,8.8665,8.8704,1750,68,0
2014-01-06 21:00:00,8.8702,8.8742,8.8677,8.8716,1788,71,0
2014-01-06 22:00:00,8.8717,8.8726,8.8674,8.869299999999999,1426,71,0
2014-01-06 23:00:00,8.868500000000001,8.8703,8.8647,8.8701,1019,73,0
2014-01-07 00:00:00,8.8696,8.8706,8.8643,8.8697,752,71,0
2014-01-07 01:00:00,8.869299999999999,8.8724,8.8672,8.8717,839,71,0
2014-01-07 02:00:00,8.8716,8.872,8.8678,8.8698,790,71,0
2014-01-07 03:00:00,8.8698,8.8724,8.8679,8.8716,791,71,0
2014-01-07 04:00:00,8.8715,8.8742,8.8684,8.8733,1162,71,0
2014-01-07 05:00:00,8.873,8.8741,8.8686,8.872,1057,71,0
2014-01-07 06:00:00,8.8732,8.8805,8.8701,8.8761,1287,25,0
2014-01-07 07:00:00,8.8781,8.8839,8.8715,8.8818,1948,31,0
2014-01-07 08:00:00,8.8821,8.8822,8.857,8.867,2688,25,0
2014-01-07 09:00:00,8.8673,8.8719,8.8535,8.8657,2738,25,0
2014-01-07 10:00:00,8.8657,8.8676,8.8516,8.8586,3110,25,0
2014-01-07 11:00:00,8.8587,8.8618,8.8533,8.8594,1925,25,0
2014-01-07 12:00:00,8.86,8.8615,8.8538,8.8573,1683,25,0
2014-01-07 13:00:00,8.8574,8.8577,8.8431,8.8565,2550,25,0
2014-01-07 14:00:00,8.8563,8.8639,8.8511,8.8618,2893,25,0
2014-01-07 15:00:00,8.8615,8.8721,8.8557,8.8696,3400,25,0
2014-01-07 16:00:00,8.8682,8.8743,8.8605,8.8695,2782,25,0
2014-01-07 17:00:00,8.8695,8.878,8.8582,8.8765,2324,25,0
2014-01-07 18:00:00,8.8767,8.8867,8.8721,8.8805,2086,25,0
2014-01-07 19:00:00,8.8777,8.8819,8.8666,8.8696,1867,25,0
2014-01-07 20:00:00,8.8695,8.878,8.8627,8.8627,1890,71,0
2014-01-07 21:00:00,8.8626,8.8675,8.862400000000001,8.8637,1144,71,0
2014-01-07 22:00:00,8.8636,8.8681,8.8604,8.8673,899,71,0
2014-01-07 23:00:00,8.8672,8.8684,8.856,8.8671,709,71,0
2014-01-08 00:00:00,8.8676,8.8737,8.861,8.8699,766,71,0
2014-01-08 01:00:00,8.8699,8.871,8.8622,8.8683,1109,71,0
2014-01-08 02:00:00,8.8683,8.8719,8.8629,8.8714,1587,71,0
2014-01-08 03:00:00,8.8714,8.8715,8.8666,8.8666,953,71,0
2014-01-08 04:00:00,8.8675,8.8709,8.867,8.8707,1252,71,0
2014-01-08 05:00:00,8.8707,8.8729,8.8678,8.8729,1339,71,0
2014-01-08 06:00:00,8.8734,8.8765,8.8696,8.8722,1234,29,0
2014-01-08 07:00:00,8.8715,8.8772,8.868500000000001,8.871,1289,25,0
2014-01-08 08:00:00,8.8705,8.8882,8.8657,8.8844,2184,25,0
2014-01-08 09:00:00,8.8845,8.902,8.8778,8.8928,3734,25,0
2014-01-08 10:00:00,8.8932,8.9082,8.8851,8.8979,3515,25,0
2014-01-08 11:00:00,8.898,8.9092,8.8912,8.9028,3266,25,0
2014-01-08 12:00:00,8.9047,8.9082,8.8974,8.902,2410,25,0
2014-01-08 13:00:00,8.902,8.903,8.8904,8.8954,2794,25,0
2014-01-08 14:00:00,8.8954,8.9255,8.8873,8.9248,4392,25,0
2014-01-08 15:00:00,8.9245,8.937,8.9153,8.9168,3522,25,0
2014-01-08 16:00:00,8.917,8.9392,8.9139,8.9163,3922,25,0
2014-01-08 17:00:00,8.9161,8.922,8.9121,8.9191,2787,25,0
2014-01-08 18:00:00,8.919599999999999,8.9312,8.9138,8.9267,2650,25,0
2014-01-08 19:00:00,8.9266,8.9342,8.9203,8.9221,1933,25,0
2014-01-08 20:00:00,8.9229,8.9261,8.9187,8.9226,1628,71,0
2014-01-08 21:00:00,8.9226,8.9233,8.9179,8.92,1340,71,0
2014-01-08 22:00:00,8.92,8.9252,8.9164,8.9208,1577,71,0
2014-01-08 23:00:00,8.9208,8.9237,8.9167,8.919,927,71,0
2014-01-09 00:00:00,8.9198,8.9212,8.9171,8.9199,783,71,0
2014-01-09 01:00:00,8.9197,8.9214,8.9171,8.9188,1026,71,0
2014-01-09 02:00:00,8.9188,8.9217,8.9178,8.9217,1358,71,0
2014-01-09 03:00:00,8.9217,8.9233,8.9171,8.9221,1845,71,0
2014-01-09 04:00:00,8.9222,8.9235,8.9192,8.923,1215,71,0
2014-01-09 05:00:00,8.923,8.9246,8.919,8.9243,1589,71,0
2014-01-09 06:00:00,8.9246,8.9288,8.919599999999999,8.9262,1452,31,0
2014-01-09 07:00:00,8.9262,8.9361,8.9248,8.9353,2490,31,0
2014-01-09 08:00:00,8.9349,8.9373,8.9227,8.934,1783,25,0
2014-01-09 09:00:00,8.9334,8.9435,8.9198,8.922,2579,25,0
2014-01-09 10:00:00,8.9238,8.9303,8.9183,8.9247,2556,25,0
2014-01-09 11:00:00,8.9248,8.9317,8.9206,8.9229,2513,25,0
2014-01-09 12:00:00,8.9229,8.93,8.9169,8.9224,2361,25,0
2014-01-09 13:00:00,8.9241,8.9333,8.9188,8.9264,2581,25,0
2014-01-09 14:00:00,8.9264,8.9301,8.9078,8.9145,4604,25,0
2014-01-09 15:00:00,8.9145,8.9273,8.9092,8.9222,3435,25,0
2014-01-09 16:00:00,8.9221,8.9264,8.9075,8.9213,3314,25,0
2014-01-09 17:00:00,8.9197,8.9224,8.9102,8.9148,2347,25,0
2014-01-09 18:00:00,8.9148,8.9164,8.9084,8.9154,1372,25,0
2014-01-09 19:00:00,8.9155,8.9199,8.9108,8.9146,1493,25,0
2014-01-09 20:00:00,8.9141,8.9231,8.9139,8.9179,1549,71,0
2014-01-09 21:00:00,8.9177,8.9201,8.907,8.9118,1358,71,0
2014-01-09 22:00:00,8.9117,8.9192,8.9117,8.9168,1101,71,0
2014-01-09 23:00:00,8.9169,8.9188,8.9071,8.9152,1157,71,0
2014-01-10 00:00:00,8.915,8.9159,8.9118,8.9148,896,71,0
2014-01-10 01:00:00,8.9144,8.9163,8.9092,8.9141,1101,71,0
2014-01-10 02:00:00,8.9141,8.915,8.912,8.9139,996,71,0
2014-01-10 03:00:00,8.9139,8.9148,8.9093,8.9117,1090,71,0
2014-01-10 04:00:00,8.9116,8.9125,8.9098,8.9117,744,71,0
2014-01-10 05:00:00,8.9118,8.9118,8.9068,8.9092,1063,71,0
2014-01-10 06:00:00,8.9102,8.9131,8.9054,8.9111,1094,29,0
2014-01-10 07:00:00,8.9113,8.9155,8.906,8.912,1276,25,0
2014-01-10 08:00:00,8.9119,8.9157,8.9053,8.9124,1714,25,0
2014-01-10 09:00:00,8.9119,8.9184,8.857,8.8756,3998,25,0
2014-01-10 10:00:00,8.8756,8.8837,8.8676,8.8779,3287,25,0
2014-01-10 11:00:00,8.8778,8.8801,8.8646,8.8709,2172,25,0
2014-01-10 12:00:00,8.8708,8.8748,8.8629,8.8687,2769,25,0
2014-01-10 13:00:00,8.8682,8.874600000000001,8.8646,8.8718,2773,25,0
2014-01-10 14:00:00,8.8716,8.8854,8.8698,8.8768,4507,25,0
2014-01-10 15:00:00,8.8768,8.8829,8.8714,8.8817,3240,25,0
2014-01-10 16:00:00,8.8818,8.8847,8.8696,8.875,3019,25,0
2014-01-10 17:00:00,8.8752,8.8849,8.8691,8.8745,3343,25,0
2014-01-10 18:00:00,8.8734,8.8783,8.8619,8.8629,1970,25,0
2014-01-10 19:00:00,8.8634,8.8758,8.8608,8.8723,1503,25,0
2014-01-10 20:00:00,8.8716,8.8719,8.8623,8.8625,1262,68,0
2014-01-10 21:00:00,8.8625,8.8639,8.8572,8.8603,1452,71,0
2014-01-10 22:00:00,8.8604,8.8644,8.8555,8.8584,919,71,0
2014-01-12 00:00:00,8.8592,8.8699,8.8592,8.8649,254,0,0
2014-01-12 23:00:00,8.8596,8.8688,8.857099999999999,8.865,457,79,0
2014-01-13 00:00:00,8.8662,8.8677,8.8621,8.8631,413,71,0
2014-01-13 01:00:00,8.8627,8.8627,8.8588,8.8607,663,71,0
2014-01-13 02:00:00,8.8608,8.862,8.858,8.8587,2058,71,0
2014-01-13 03:00:00,8.8588,8.8635,8.8582,8.8619,1386,71,0
2014-01-13 04:00:00,8.8618,8.8662,8.8609,8.865,1059,71,0
2014-01-13 05:00:00,8.8652,8.8656,8.8635,8.8649,548,71,0
2014-01-13 06:00:00,8.8642,8.8697,8.8635,8.8681,1776,31,0
2014-01-13 07:00:00,8.8682,8.8766,8.8628,8.8759,1354,25,0
2014-01-13 08:00:00,8.8758,8.8825,8.8683,8.880700000000001,1988,25,0
2014-01-13 09:00:00,8.8808,8.8852,8.8586,8.867,2806,25,0
2014-01-13 10:00:00,8.867,8.8821,8.8628,8.8753,2990,25,0
2014-01-13 11:00:00,8.8753,8.8848,8.8677,8.8794,2831,25,0
2014-01-13 12:00:00,8.8792,8.8796,8.8713,8.8755,1885,25,0
2014-01-13 13:00:00,8.875399999999999,8.8756,8.865,8.8694,2450,25,0
2014-01-13 14:00:00,8.8691,8.8727,8.8651,8.8696,2248,13,0
2014-01-13 15:00:00,8.8697,8.8862,8.8652,8.8779,3713,25,0
2014-01-13 16:00:00,8.8798,8.8799,8.8627,8.8711,2986,25,0
2014-01-13 17:00:00,8.8712,8.8784,8.8657,8.8764,2244,25,0
2014-01-13 18:00:00,8.8764,8.8847,8.872,8.8836,1711,25,0
2014-01-13 19:00:00,8.8837,8.89,8.8785,8.886,1757,25,0
2014-01-13 20:00:00,8.8849,8.8915,8.8837,8.8878,2052,71,0
2014-01-13 21:00:00,8.8878,8.8892,8.8827,8.8877,1558,71,0
2014-01-13 22:00:00,8.8879,8.8899,8.8862,8.8872,1088,71,0
2014-01-13 23:00:00,8.8872,8.8909,8.8771,8.8808,979,71,0
2014-01-14 00:00:00,8.8806,8.888,8.8781,8.8843,1011,71,0
2014-01-14 01:00:00,8.8836,8.8904,8.8825,8.8869,1967,71,0
2014-01-14 02:00:00,8.886800000000001,8.887599999999999,8.8842,8.8855,757,71,0
2014-01-14 03:00:00,8.8853,8.8856,8.8798,8.8834,858,71,0
2014-01-14 04:00:00,8.8834,8.8872,8.8813,8.8829,1608,71,0
2014-01-14 05:00:00,8.883,8.8837,8.8784,8.8821,2001,71,0
2014-01-14 06:00:00,8.8827,8.8857,8.8778,8.8836,1123,29,0
2014-01-14 07:00:00,8.8846,8.8889,8.8785,8.8859,1199,31,0
2014-01-14 08:00:00,8.8861,8.8965,8.8802,8.8894,2877,25,0
2014-01-14 09:00:00,8.8907,8.8982,8.8353,8.8434,4050,25,0
2014-01-14 10:00:00,8.8433,8.8486,8.8315,8.8367,3468,25,0
2014-01-14 11:00:00,8.8368,8.8414,8.8256,8.8356,3021,25,0
2014-01-14 12:00:00,8.8353,8.836500000000001,8.8209,8.8289,2667,25,0
2014-01-14 13:00:00,8.8313,8.8317,8.8108,8.8217,2934,25,0
